sample_index,sample_id,modality,rank,start_aligned_position,end_aligned_position,score,source_scale,classification_effect,regression_effect,raw_evidence,start_s,end_s,representative_time_s,mapping_status,frame_index,frame_path
1,01,V,1,2,7,0.47410949523606016,5,0.12568359375000002,0.4168652834494899,,0.92,2.72,1.63,PASS,49,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_01\vision_rank1.jpg
1,01,V,2,12,13,0.15546123919603227,1,0.0296875,0.13491863767305975,,4.08,4.94,4.75,PASS,142,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_01\vision_rank2.jpg
1,01,V,3,4,4,0.1266163338585276,peak,0.04944661458333334,0.07699870626131679,,1.4,1.86,1.63,PASS,49,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_01\vision_rank3.jpg
2,02,V,1,6,10,0.3276998613627982,5,1.3936360677083335,0.49381851583719155,,1.08,1.64,1.2566666666666666,PASS,38,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_02\vision_rank1.jpg
2,02,V,2,7,7,0.06751985381601835,peak,0.2880859375,0.1014258125424383,,1.22,1.2933333333333332,1.2566666666666666,PASS,38,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_02\vision_rank2.jpg
2,02,V,3,11,11,0.06458609891883811,1,0.257763671875,0.10311526566743831,,1.88,1.9,1.89,PASS,57,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_02\vision_rank3.jpg
3,03,V,1,8,16,0.4075923504412112,3,1.3220377604166667,0.3216927485664668,,1.62,3.56,3.035,PASS,91,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_03\vision_rank1.jpg
3,03,V,2,14,17,0.17945856617744307,1,0.5983072916666667,0.13865887204805932,,2.7,4.3,3.035,PASS,91,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_03\vision_rank2.jpg
3,03,V,3,11,12,0.09295001263428188,1,0.2900390625,0.07546224852402963,,2.26,2.52,2.33,PASS,70,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_03\vision_rank3.jpg
4,04,V,1,2,5,0.2694686510498389,3,0.5845540364583333,0.17576177000999393,,0.54,1.16,0.8,PASS,24,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_04\vision_rank1.jpg
4,04,V,2,16,19,0.26784402963742304,5,0.5889973958333333,0.16954106648762968,,3.38,4.109999999999999,3.87,PASS,116,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_04\vision_rank2.jpg
4,04,V,3,18,18,0.08261792400590952,peak,0.17931315104166665,0.053841163714726574,,3.7800000000000002,3.96,3.87,PASS,116,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_04\vision_rank3.jpg
5,05,V,1,3,6,0.5501674059547557,3,2.4047526041666667,0.6607683310906098,,1.86,2.58,2.37,PASS,71,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_05\vision_rank1.jpg
5,05,V,2,5,5,0.14947030492718938,peak,0.6543619791666667,0.17923179765542369,,2.24,2.5,2.37,PASS,71,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_05\vision_rank2.jpg
5,05,V,3,1,1,0.05719555970966293,1,0.2402994791666667,0.07138022204240174,,0.8399999999999994,1.1599999999999997,0.9999999999999996,PASS,30,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_05\vision_rank3.jpg
6,06,V,1,17,22,0.12341013226495508,3,-0.7939127604166667,0.19658870259920677,,2.78,4.68,3.2,PASS,96,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_06\vision_rank1.jpg
