sample_id,original_rank,final_display_rank,frame_index,source_frame_path,final_frame_path,copied,warning
01,1,1,142,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_01\vision_rank01.png,True,
01,2,2,133,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_01\vision_rank02.png,True,
01,3,3,211,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_01\vision_rank03.png,True,
02,1,1,14,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_02\vision_rank01.png,True,
02,2,2,43,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_02\vision_rank02.png,True,
02,3,3,23,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_02\vision_rank03.png,True,
03,1,1,117,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_03\vision_rank01.png,True,
03,2,2,148,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_03\vision_rank02.png,True,
03,3,3,91,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_03\vision_rank03.png,True,
04,1,1,26,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_04\vision_rank01.png,True,
04,2,2,30,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_04\vision_rank02.png,True,
04,3,3,10,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_04\vision_rank03.png,True,
05,1,1,46,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_05\vision_rank01.png,True,
05,2,2,71,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_05\vision_rank02.png,True,
05,3,3,100,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_05\vision_rank03.png,True,
06,1,1,181,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_06\vision_rank01.png,True,
06,2,2,188,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_06\vision_rank02.png,True,
06,3,3,10,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_06\vision_rank03.png,True,
07,1,1,373,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_07\vision_rank01.png,True,
07,2,2,408,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_07\vision_rank02.png,True,
07,3,3,140,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_07\vision_rank03.png,True,
08,1,1,57,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_08\vision_rank01.png,True,
08,2,2,38,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_08\vision_rank02.png,True,
08,3,3,92,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_08\vision_rank03.png,True,
09,1,1,102,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_09\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_09\vision_rank01.png,True,
09,2,2,90,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_09\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_09\vision_rank02.png,True,
09,3,3,21,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_09\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_09\vision_rank03.png,True,
10,1,1,72,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_10\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_10\vision_rank01.png,True,
10,2,2,97,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_10\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_10\vision_rank02.png,True,
10,3,3,160,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_10\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_10\vision_rank03.png,True,
11,1,1,135,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_11\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_11\vision_rank01.png,True,
11,2,2,65,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_11\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_11\vision_rank02.png,True,
11,3,3,28,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_11\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_11\vision_rank03.png,True,
12,1,1,264,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_12\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_12\vision_rank01.png,True,
12,2,2,281,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_12\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_12\vision_rank02.png,True,
12,3,3,161,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_12\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_12\vision_rank03.png,True,
14,1,1,253,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_14\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_14\vision_rank01.png,True,
14,2,2,11,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_14\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_14\vision_rank02.png,True,
14,3,3,91,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_14\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_14\vision_rank03.png,True,
15,1,1,207,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_15\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_15\vision_rank01.png,True,
15,2,2,219,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_15\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_15\vision_rank02.png,True,
15,3,3,191,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_15\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_15\vision_rank03.png,True,
16,1,1,36,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_16\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_16\vision_rank01.png,True,
16,2,2,54,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_16\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_16\vision_rank02.png,True,
16,3,3,12,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_16\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_16\vision_rank03.png,True,
17,1,1,233,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_17\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_17\vision_rank01.png,True,
17,2,2,175,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_17\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_17\vision_rank02.png,True,
17,3,3,252,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_17\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_17\vision_rank03.png,True,
18,1,1,419,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_18\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_18\vision_rank01.png,True,
18,2,2,350,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_18\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_18\vision_rank02.png,True,
18,3,3,438,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_18\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_18\vision_rank03.png,True,
19,1,1,352,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_19\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_19\vision_rank01.png,True,
19,2,2,342,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_19\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_19\vision_rank02.png,True,
19,3,3,372,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_19\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_19\vision_rank03.png,True,
20,1,1,89,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_20\vision_rank01.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_20\vision_rank01.png,True,
20,2,2,57,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_20\vision_rank02.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_20\vision_rank02.png,True,
20,3,3,117,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_20\vision_rank03.png,D:\Desktop\shumo\E题数据\Q3_HybridFinal_FinalPack_outputs\representative_frames_final\sample_20\vision_rank03.png,True,
