sample_index,sample_id,modality,rank,start_index,end_index,score,source_scale,words,wordpiece_start,wordpiece_end
0,-UacrmKiTn4$_$7,T,1,16,19,0.4718867255404928,2,important that you test,17,20
0,-UacrmKiTn4$_$7,T,2,19,21,0.15637001736869985,1,test the students,20,22
0,-UacrmKiTn4$_$7,T,3,16,16,0.14512553922338817,1,important,17,17
1,-qDkUB0GgYY$_$5,T,1,3,8,0.18437381844289297,3,"within buy range , another hit",4,9
1,-qDkUB0GgYY$_$5,T,2,17,19,0.13966562920764258,2,little while back,18,20
1,-qDkUB0GgYY$_$5,T,3,27,29,0.07254828475326398,3,of those are,28,30
2,0utROiKxejc$_$1,T,1,13,14,0.15579110889237086,2,every month,14,15
2,0utROiKxejc$_$1,T,2,10,11,0.137265172987931,3,launch new,11,12
2,0utROiKxejc$_$1,T,3,0,0,0.11797365804504076,1,business,1,1
3,0utROiKxejc$_$4,T,1,28,30,0.168211678180883,2,into huge losses,30,32
3,0utROiKxejc$_$4,T,2,9,12,0.1481314079043728,3,didn ' t helped,11,14
3,0utROiKxejc$_$4,T,3,20,21,0.06739034094153774,2,and because,22,23
4,0y022OlZ3W0$_$3,T,1,10,14,0.34877487456235823,3,is the center of everything,11,15
4,0y022OlZ3W0$_$3,T,2,9,10,0.1547835321220369,2,he is,10,11
4,0y022OlZ3W0$_$3,T,3,14,15,0.14733112338231194,2,everything you,15,16
5,0y022OlZ3W0$_$5,T,1,10,12,0.23564940139355295,2,down my kid,11,13
5,0y022OlZ3W0$_$5,T,2,20,21,0.14883200172264413,1,reject it,21,22
5,0y022OlZ3W0$_$5,T,3,18,19,0.09460717940986749,3,they will,19,20
6,0y022OlZ3W0$_$8,T,1,7,10,0.5083063718103836,3,s what i ',8,11
6,0y022OlZ3W0$_$8,T,2,8,8,0.16401634218152955,peak,what,9,9
6,0y022OlZ3W0$_$8,T,3,0,1,0.09128205039120274,1,based on,1,2
7,101787$_$11,T,1,11,15,0.25924078756343644,3,he has to spend a,13,17
7,101787$_$11,T,2,18,19,0.09207243640178198,2,anne heche,20,22
