sample_index,sample_id,rank,time_s,frame_index,frame_path,readable
1,01,1,4.75,142,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank01.png,True
1,01,2,4.44,133,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank02.png,True
1,01,3,7.039999999999999,211,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_01\vision_rank03.png,True
2,02,1,0.46,14,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank01.png,True
2,02,2,1.43,43,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank02.png,True
2,02,3,0.76,23,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_02\vision_rank03.png,True
3,03,1,3.915,117,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank01.png,True
3,03,2,4.92,148,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank02.png,True
3,03,3,3.04,91,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_03\vision_rank03.png,True
4,04,1,0.85,26,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank01.png,True
4,04,2,1.01,30,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank02.png,True
4,04,3,0.33,10,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_04\vision_rank03.png,True
5,05,1,1.5399999999999998,46,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank01.png,True
5,05,2,2.38,71,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank02.png,True
5,05,3,3.34,100,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_05\vision_rank03.png,True
6,06,1,6.04,181,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank01.png,True
6,06,2,6.27,188,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank02.png,True
6,06,3,0.3466666666666667,10,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_06\vision_rank03.png,True
