sample_order,sample_id,source_file,content_length,mask_source_final,has_explicit_mask,audio_zero_candidate_count,vision_zero_candidate_count,joint_zero_candidate_count,audio_zero_candidate_segments,vision_zero_candidate_segments,joint_zero_candidate_segments,final_audio_missing_count,final_vision_missing_count,final_audio_missing_segments,final_vision_missing_segments,keys_used
1,附件3_01,附件3_01.pkl,8,derived_q2a_candidate_because_no_explicit_mask,False,2,2,2,"[[0, 0], [7, 7]]","[[0, 0], [7, 7]]","[[0, 0], [7, 7]]",2,2,"[[0, 0], [7, 7]]","[[0, 0], [7, 7]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
2,附件3_02,附件3_02.pkl,30,derived_q2a_candidate_because_no_explicit_mask,False,7,7,7,"[[0, 0], [2, 2], [5, 5], [7, 7], [9, 10], [29, 29]]","[[0, 0], [2, 2], [5, 5], [7, 7], [9, 10], [29, 29]]","[[0, 0], [2, 2], [5, 5], [7, 7], [9, 10], [29, 29]]",7,7,"[[0, 0], [2, 2], [5, 5], [7, 7], [9, 10], [29, 29]]","[[0, 0], [2, 2], [5, 5], [7, 7], [9, 10], [29, 29]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
3,附件3_03,附件3_03.pkl,34,derived_q2a_candidate_because_no_explicit_mask,False,7,11,7,"[[0, 0], [6, 6], [16, 16], [20, 20], [23, 23], [31, 31], [33, 33]]","[[0, 0], [6, 6], [16, 16], [20, 21], [23, 26], [31, 31], [33, 33]]","[[0, 0], [6, 6], [16, 16], [20, 20], [23, 23], [31, 31], [33, 33]]",7,10,"[[0, 0], [6, 6], [16, 16], [20, 20], [23, 23], [31, 31], [33, 33]]","[[0, 0], [6, 6], [16, 16], [20, 20], [23, 26], [31, 31], [33, 33]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
4,附件3_04,附件3_04.pkl,33,derived_q2a_candidate_because_no_explicit_mask,False,4,4,4,"[[0, 0], [6, 6], [8, 8], [32, 32]]","[[0, 0], [6, 6], [8, 8], [32, 32]]","[[0, 0], [6, 6], [8, 8], [32, 32]]",4,4,"[[0, 0], [6, 6], [8, 8], [32, 32]]","[[0, 0], [6, 6], [8, 8], [32, 32]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
5,附件3_05,附件3_05.pkl,14,derived_q2a_candidate_because_no_explicit_mask,False,2,2,2,"[[0, 0], [13, 13]]","[[0, 0], [13, 13]]","[[0, 0], [13, 13]]",2,2,"[[0, 0], [13, 13]]","[[0, 0], [13, 13]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
6,附件3_06,附件3_06.pkl,27,derived_q2a_candidate_because_no_explicit_mask,False,5,5,5,"[[0, 0], [14, 14], [17, 17], [25, 26]]","[[0, 0], [14, 14], [17, 17], [25, 26]]","[[0, 0], [14, 14], [17, 17], [25, 26]]",5,5,"[[0, 0], [14, 14], [17, 17], [25, 26]]","[[0, 0], [14, 14], [17, 17], [25, 26]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
7,附件3_07,附件3_07.pkl,23,derived_q2a_candidate_because_no_explicit_mask,False,5,5,5,"[[0, 0], [10, 10], [12, 12], [14, 14], [22, 22]]","[[0, 0], [10, 10], [12, 12], [14, 14], [22, 22]]","[[0, 0], [10, 10], [12, 12], [14, 14], [22, 22]]",5,5,"[[0, 0], [10, 10], [12, 12], [14, 14], [22, 22]]","[[0, 0], [10, 10], [12, 12], [14, 14], [22, 22]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
8,附件3_08,附件3_08.pkl,17,derived_q2a_candidate_because_no_explicit_mask,False,4,4,4,"[[0, 0], [9, 10], [16, 16]]","[[0, 0], [9, 10], [16, 16]]","[[0, 0], [9, 10], [16, 16]]",4,4,"[[0, 0], [9, 10], [16, 16]]","[[0, 0], [9, 10], [16, 16]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
9,附件3_09,附件3_09.pkl,16,derived_q2a_candidate_because_no_explicit_mask,False,4,4,4,"[[0, 0], [3, 4], [15, 15]]","[[0, 0], [3, 4], [15, 15]]","[[0, 0], [3, 4], [15, 15]]",4,4,"[[0, 0], [3, 4], [15, 15]]","[[0, 0], [3, 4], [15, 15]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
10,附件3_10,附件3_10.pkl,8,derived_q2a_candidate_because_no_explicit_mask,False,2,2,2,"[[0, 0], [7, 7]]","[[0, 0], [7, 7]]","[[0, 0], [7, 7]]",2,2,"[[0, 0], [7, 7]]","[[0, 0], [7, 7]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
