sample_index,sample_id,text_bert_shape,text_shape,audio_shape,vision_shape,content_length,explicit_mask_present,attention_prefix_valid,audio_finite,vision_finite,pkl_path,video_path
1,01,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",24,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\01.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\01.mp4
2,02,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",21,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\02.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4
3,03,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",35,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\03.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4
4,04,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",28,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\04.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\04.mp4
5,05,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",17,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\05.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4
6,06,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",37,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\06.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\06.mp4
7,07,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",50,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\07.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\07.mp4
8,08,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",13,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\08.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\08.mp4
9,09,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",20,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\09.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\09.mp4
10,10,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",32,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\10.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\10.mp4
11,11,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",16,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\11.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\11.mp4
12,12,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",44,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\12.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\12.mp4
13,13,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",32,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\13.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\13.mp4
14,14,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",37,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\14.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\14.mp4
15,15,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",23,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\15.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\15.mp4
16,16,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",13,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\16.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\16.mp4
17,17,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",26,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\17.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\17.mp4
18,18,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",50,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\18.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\18.mp4
19,19,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",41,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\19.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\19.mp4
20,20,"(3, 50)","(50, 768)","(50, 74)","(50, 35)",45,False,True,True,True,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\20.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\20.mp4
