pkl_path,pkl_name,pkl_sha256,load_status,error,sample_id,raw_text,raw_text_chars,raw_text_words,keys,label_like_keys,text_bert_shape,text_present,text_shape,audio_shape,vision_shape,content_length,attention_prefix_contiguous,cls_present,sep_present_inside_valid,audio_finite,vision_finite,text_finite,audio_zero_inside_content,vision_zero_inside_content,audio_longest_zero_run_inside_content,vision_longest_zero_run_inside_content,core_shape_pass,core_finite_pass,text_interface_pass,mapping_prereq_feature_pass
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\01.pkl,01.pkl,5a08410ee779863238edcf349556a2f8e10490a70e02fc95001a64f6c8d17452,PASS,,01,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,137,21,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",24,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\02.pkl,02.pkl,88ed34a500bd7f11027ffc97205e23fdcde162b32bee9c447367b026b41608ac,PASS,,02,We want to live by each other’s happiness - not by each other’s misery.,71,15,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",21,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\03.pkl,03.pkl,237a657ffb78b451b4e504ab8021e6072de404afd83d3b08be1560e98ca62860,PASS,,03,"There's one lender at the moment which I think is just Bankwest who don't take rental income into account, they take rental yield into account.",143,25,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",35,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\04.pkl,04.pkl,f7d7291b6ed0050ad3fd439bd3f85ce6fafb230a6399366a76e0b52f017bf4a7,PASS,,04,"If I blow it at the team exercise, should I kiss my chances of cheering ""GO BLUE"" goodbye?] Absolutely not.",107,20,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",28,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\05.pkl,05.pkl,c6948e101e25656832290edf03daaf400b9a566e912775193d5f3ecdf9388eec,PASS,,05,"Hi, my name is Chloe, video marketer for Red Wagon Marketing.",61,11,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",17,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\06.pkl,06.pkl,8c432420054ac28bfcacbbee18d0e8397bc87fa0c7e8cbb11f525d6e366fdd57,PASS,,06,"If you're a fan of dancing in that sense, just like to watch people dance, see impressive dance moves then you might want to check out this movie solely for that",161,31,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",37,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\07.pkl,07.pkl,f16e44523bd82862435489552910ef3b801dd5b7501d67b84b83ee1496b0c5a0,PASS,,07,"As Linn’s associate editor Michael Baadke reports in our November 28 issue, attendees “enthusiastically discussed the topics of growing the hobby, the future of stamp shows, and dealers and philatelic partnerships, along with ways the leading organizations involved in the stamp hobby can work together to make it succeed and grow",330,52,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",50,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\08.pkl,08.pkl,a1cccd885234d22478f30d0a3b253277e0567abaecc6ac683734b7e3dfc255c4,PASS,,08,"That brings us to tonight, the Universal Design Grand Challenge",63,10,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",13,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\09.pkl,09.pkl,f00ad50bdc14a4c9fe58fb4e421d6c8ee052d281d917766314f2846e48af8ff7,PASS,,09,"(uhh) I did not like this movie at all, I would not recommend it",64,14,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",20,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\10.pkl,10.pkl,693326817b8253fc907a3c1df1b05dd1f10c7bc756a86ce125bb903b01eaf571,PASS,,10,(umm) And you know I really do like to see fluffy chick flicks sometimes so I'm not against that but this one was pretty terrible,129,25,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",32,True,True,True,True,True,True,2,2,1,1,True,True,True,True
