sample_index,sample_id,video_path,readable,fps,frame_count,duration_s,first_frame_readable,audit_type,rank,frame_index,frame_path,within_bounds
1,01,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\01.mp4,True,30.0,270.0,9.0,1.0,video_source,,0,,True
2,02,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4,True,30.0,108.0,3.6,1.0,video_source,,0,,True
3,03,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,True,30.0,480.0,16.0,1.0,video_source,,0,,True
4,04,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\04.mp4,True,30.0,277.0,9.233333333333333,1.0,video_source,,0,,True
5,05,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,True,30.0,183.0,6.1,1.0,video_source,,0,,True
6,06,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\06.mp4,True,30.0,292.0,9.733333333333333,1.0,video_source,,0,,True
7,07,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\07.mp4,True,30.0,723.0,24.1,1.0,video_source,,0,,True
8,08,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\08.mp4,True,30.0,239.0,7.966666666666667,1.0,video_source,,0,,True
9,09,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\09.mp4,True,30.0,339.0,11.3,1.0,video_source,,0,,True
10,10,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\10.mp4,True,30.0,325.0,10.833333333333334,1.0,video_source,,0,,True
11,11,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\11.mp4,True,30.0,342.0,11.4,1.0,video_source,,0,,True
12,12,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\12.mp4,True,30.0,609.0,20.3,1.0,video_source,,0,,True
13,13,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\13.mp4,True,30.0,260.0,8.666666666666666,1.0,video_source,,0,,True
14,14,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\14.mp4,True,30.0,415.0,13.833333333333334,1.0,video_source,,0,,True
15,15,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\15.mp4,True,30.0,220.0,7.333333333333333,1.0,video_source,,0,,True
