sample_id,pkl_path,video_path,video_duration_s,raw_text_words,content_length,feature_mapping_prereq,video_pair_pass,video_readable,q1_mapping_reuse_status,reason,mapping_rule
01,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\01.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\01.mp4,9.0,21,24,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
02,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\02.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4,3.6,15,21,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
03,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\03.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,16.0,25,35,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
04,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\04.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\04.mp4,9.233333333333333,20,28,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
05,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\05.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,6.1,11,17,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
06,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\06.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\06.mp4,9.733333333333333,31,37,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
07,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\07.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\07.mp4,24.1,52,50,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
08,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\08.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\08.mp4,7.966666666666667,10,13,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
09,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\09.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\09.mp4,11.3,14,20,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
10,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\10.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\10.mp4,10.833333333333334,25,32,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
11,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\11.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\11.mp4,11.4,14,16,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
12,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\12.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\12.mp4,20.3,35,44,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
13,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\13.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\13.mp4,8.666666666666666,27,32,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
14,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\14.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\14.mp4,13.833333333333334,24,37,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
15,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\15.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\15.mp4,7.333333333333333,17,23,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
16,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\16.pkl,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\16.mp4,5.566666666666666,8,13,True,True,True,READY_FOR_Q1_MAPPING_REUSE,,"Reuse final Q1 token/word time-alignment algorithm on Attachment 4; then map aligned position -> word/token -> [start,end] seconds -> key frame."
